Player,First_Year,Last_Year,Years_Played,Last_Age,Games,Games_Started,Completions,Attempts,Passing_Yards,Passing_TDs,Interceptions,Average_Passer_Rating,Times_Sacked,Sack_Yards_Lost,Total_Wins,Total_Losses,Total_Ties,Teams,Completion_Percentage,TD_Percentage,Int_Percentage,Yards_Per_Attempt,Win_Percentage,QB_Score,Tier,All_Time_Rank,Prime_Years,Prime_Rating,Era,Era_Avg_pass_rating,Era_Avg_pass_yds,Era_Avg_pass_td,Era_Avg_pass_int,Era_Avg_pass_cmp,Era_Avg_pass_att,Average_Passer_Rating_vs_era,Passing_Yards_vs_era,Passing_TDs_vs_era
Quincy Carter,2001,2004,4,27,38,34,542,960,6337,32,37,76.22500000000001,80,441,18,16,0,"DAL, NYJ",56.5,3.3,3.9,6.6,52.9,4.1,Unranked,122,2001-2003,68.9,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,2.9,331.1,273.0
Quinn Gray,2005,2008,4,29,12,4,108,188,1328,13,5,108.3,12,86,2,2,0,"JAX, KAN",57.4,6.9,2.7,7.1,50.0,3.5,Unranked,129,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,44.4,-13.2,43.2
Randall Cunningham,2000,2001,2,38,12,5,128,214,1422,9,6,81.85,20,111,3,2,0,"BAL, DAL",59.8,4.2,2.8,6.6,60.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,10.4,-3.3,4.9
Randy Fasani,2002,2002,1,24,4,1,15,44,171,0,4,8.8,7,60,0,1,0,CAR,34.1,0.0,9.1,3.9,0.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-88.1,-88.4,-100.0
Ray Lucas,2000,2002,3,30,24,6,115,204,1296,4,10,68.56666666666668,18,114,2,4,0,"MIA, NYJ",56.4,2.0,4.9,6.4,33.3,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-7.5,-11.8,-53.4
Rex Grossman,2003,2011,9,31,54,47,863,1562,10232,56,60,62.400000000000006,92,698,25,22,0,"CHI, HOU, WAS",55.2,3.6,3.8,6.6,53.2,6.3,Unranked,101,2006-2010,73.8,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-15.8,596.1,552.7
Rich Gannon,2000,2004,5,39,58,58,1229,1933,13745,90,36,89.12,113,600,37,21,0,OAK,63.6,4.7,1.9,7.1,63.8,13.1,Unranked,67,2000-2002,95.1,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,20.3,835.1,949.0
Richard Bartel,2010,2011,2,28,3,0,26,50,236,1,2,54.8,3,18,0,0,0,ARI,52.0,2.0,4.0,4.7,0.0,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-26.9,-84.6,-89.0
Rick Mirer,2000,2003,2,33,10,8,126,241,1393,4,5,75.75,23,128,2,6,0,"OAK, SFO",52.3,1.7,2.1,5.8,25.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,2.2,-5.2,-53.4
Rob Johnson,2000,2003,6,30,34,21,388,650,4312,18,18,65.23333333333333,107,624,7,14,0,"2TM, BUF, OAK, TAM, WAS",59.7,2.8,2.8,6.6,33.3,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-12.0,193.4,109.8
Robert Griffin III,2012,2020,7,30,56,42,799,1268,9271,43,30,67.85714285714286,131,895,16,26,0,"BAL, CLE, WAS",63.0,3.4,2.4,7.3,38.1,4.4,Unranked,117,2012-2014,90.5,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-16.1,433.8,301.9
Rodney Peete,2002,2004,3,38,16,15,228,392,2652,15,14,68.16666666666667,34,212,8,7,0,CAR,58.2,3.8,3.6,6.8,53.3,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-8.0,80.4,74.8
Rohan Davey,2002,2004,3,26,7,0,8,19,88,0,0,56.76666666666667,0,0,0,0,0,NWE,42.1,0.0,0.0,4.6,0.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-23.4,-94.0,-100.0
Russell Wilson,2012,2023,12,35,188,188,3668,5665,43653,334,106,100.17500000000001,527,3464,115,72,1,"DEN, SEA",64.7,5.9,1.9,7.7,61.5,42.4,Unranked,12,2018-2020,107.4,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,23.8,2413.5,3021.5
Rusty Smith,2010,2012,2,25,3,1,23,45,234,0,4,52.7,1,0,0,1,0,TEN,51.1,0.0,8.9,5.2,0.0,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-29.7,-84.7,-100.0
Ryan Finley,2019,2020,2,26,8,4,58,119,638,3,4,57.1,20,156,1,3,0,CIN,48.7,2.5,3.4,5.4,25.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-29.4,-63.3,-72.0
Ryan Fitzpatrick,2005,2021,15,39,164,147,3072,5060,34990,223,169,80.04666666666667,300,1576,59,87,1,"BUF, CIN, HOU, MIA, NYJ, STL, TAM, TEN, WAS",60.7,4.4,3.3,6.9,40.4,35.4,Unranked,20,2018-2020,93.8,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,6.7,2186.9,2355.9
Ryan Griffin,2019,2019,1,30,2,0,2,4,18,0,0,62.5,0,0,0,0,0,TAM,50.0,0.0,0.0,4.5,0.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-22.8,-99.0,-100.0
Ryan Leaf,2000,2001,2,25,15,12,206,410,2377,12,21,56.95,43,237,1,11,0,"DAL, SDG",50.2,2.9,5.1,5.8,8.3,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-23.2,61.7,39.9
Ryan Lindley,2012,2015,3,26,10,6,140,274,1372,3,11,71.03333333333333,18,137,1,5,0,"ARI, IND",51.1,1.1,4.0,5.0,16.7,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-12.2,-21.0,-72.0
Ryan Mallett,2012,2017,7,29,29,14,326,589,3171,14,16,57.72857142857141,13,69,5,9,0,"2TM, BAL, HOU, NWE",55.3,2.4,2.7,5.4,35.7,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-28.7,82.6,30.8
Ryan Nassib,2014,2015,2,25,5,0,9,10,128,1,0,137.5,2,11,0,0,0,NYG,90.0,10.0,0.0,12.8,0.0,10.1,Unranked,80,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,69.9,-92.6,-90.7
Ryan Tannehill,2012,2023,11,35,155,151,3063,4764,34881,216,115,92.01818181818182,415,3065,81,70,0,"MIA, TEN",64.3,4.5,2.4,7.3,53.6,32.4,Unranked,22,2018-2020,105.6,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,13.7,1908.5,1918.7
Sage Rosenfels,2002,2008,7,30,32,12,351,562,4156,30,29,80.18571428571428,19,127,6,6,0,"HOU, MIA",62.5,5.3,5.2,7.4,50.0,3.3,Unranked,131,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,8.2,182.8,249.7
Sam Bradford,2010,2018,8,31,83,83,1855,2967,19449,103,61,86.6375,196,1371,34,48,1,"ARI, MIN, PHI, STL",62.5,3.5,2.1,6.6,41.5,16.7,Unranked,52,2013-2016,92.2,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,15.5,1171.1,1034.4
Sam Darnold,2018,2023,6,26,66,56,1082,1811,12064,63,56,80.7,149,972,21,35,0,"CAR, NYJ, SFO",59.7,3.5,3.1,6.7,37.5,9.6,Unranked,82,2020-2022,79.1,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-0.3,594.6,488.8
Sam Ehlinger,2022,2022,1,24,4,3,64,101,573,3,3,76.1,14,87,0,3,0,IND,63.4,3.0,3.0,5.7,0.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-5.9,-67.0,-72.0
Sam Howell,2022,2023,2,23,18,18,399,631,4115,22,22,80.95,68,460,5,13,0,WAS,63.2,3.5,3.5,6.5,27.8,2.3,Unranked,142,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,0.0,136.9,105.6
Scott Covington,2002,2002,1,26,1,1,2,5,7,0,0,47.9,2,16,1,0,0,STL,40.0,0.0,0.0,1.4,100.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-35.4,-99.5,-100.0
Scott Mitchell,2000,2001,2,33,9,5,93,199,1004,3,11,27.15,18,97,2,3,0,CIN,46.7,1.5,5.5,5.0,40.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-63.4,-31.7,-65.0
Scott Tolzien,2013,2017,4,30,10,4,88,146,1065,2,9,62.150000000000006,11,84,0,3,1,"GNB, IND",60.3,1.4,6.2,7.3,0.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-23.2,-38.7,-81.3
Sean Clifford,2023,2023,1,25,2,0,1,1,37,0,0,118.7,0,0,0,0,0,GNB,100.0,0.0,0.0,37.0,0.0,17.3,Unranked,49,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,46.7,-97.9,-100.0
Sean Mannion,2015,2021,6,29,14,3,67,110,573,1,3,63.966666666666676,5,35,0,3,0,"LAR, MIN, STL",60.9,0.9,2.7,5.2,0.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-20.9,-67.0,-90.7
Sean Renfree,2015,2015,1,25,2,0,3,7,11,0,1,10.7,2,17,0,0,0,ATL,42.9,0.0,14.3,1.6,0.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-86.8,-99.4,-100.0
Seneca Wallace,2005,2013,8,33,64,22,468,788,4947,31,19,79.23750000000001,59,339,6,16,0,"CLE, GNB, SEA",59.4,3.9,2.4,6.3,27.3,2.4,Unranked,140,2008-2010,85.8,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,5.7,223.3,241.4
Shane Matthews,2000,2004,4,34,21,15,312,547,2953,20,18,89.55000000000001,20,126,8,7,0,"BUF, CHI, WAS",57.0,3.7,3.3,5.4,53.3,1.9,Unranked,147,2000-2002,69.6,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,20.8,100.9,133.1
Shaun Hill,2007,2016,9,36,47,35,757,1225,8295,49,30,90.07777777777777,84,533,17,18,0,"DET, MIN, SFO, STL",61.8,4.0,2.4,6.8,48.6,7.4,Unranked,94,2008-2010,82.8,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,20.1,442.1,439.6
Shaun King,2000,2004,5,27,28,19,326,592,3691,20,20,63.3,50,341,10,9,0,"ARI, TAM",55.1,3.4,3.4,6.2,52.6,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-14.6,151.1,133.1
Skylar Thompson,2022,2022,1,25,7,2,60,105,534,1,3,62.2,6,40,1,1,0,MIA,57.1,1.0,2.9,5.1,50.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-23.1,-69.3,-90.7
Spergon Wynn,2000,2001,2,23,10,3,70,152,585,1,7,39.900000000000006,23,154,0,3,0,"CLE, MIN",46.1,0.7,4.6,3.8,0.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-46.2,-60.2,-88.3
Stephen McGee,2010,2011,2,26,3,1,46,82,420,3,0,82.4,6,50,1,0,0,DAL,56.1,3.7,0.0,5.1,100.0,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,9.9,-72.5,-67.0
Steve Beuerlein,2000,2003,3,38,28,21,425,713,5044,27,28,70.46666666666667,83,469,9,12,0,"CAR, DEN",59.6,3.8,3.9,7.1,42.9,2.1,Unranked,144,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-4.9,243.2,214.7
Steve McNair,2000,2007,8,34,105,104,1912,3083,21466,124,83,83.7125,159,1019,62,42,0,"BAL, TEN",62.0,4.0,2.7,7.0,59.6,20.7,Unranked,40,2001-2003,91.5,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,13.0,1360.5,1345.2
Stoney Case,2000,2000,1,28,5,1,56,91,503,1,4,61.7,12,75,1,0,0,DET,61.5,1.1,4.4,5.5,100.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-16.7,-65.8,-88.3
T.J. Yates,2011,2017,6,30,22,10,179,324,2057,10,11,59.666666666666664,36,189,4,6,0,"ATL, HOU",55.2,3.1,3.4,6.3,40.0,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-20.4,34.4,10.1
Tarvaris Jackson,2006,2015,9,32,59,34,640,1073,7263,39,35,87.54444444444444,90,546,17,17,0,"MIN, SEA",59.6,3.6,3.3,6.8,50.0,6.4,Unranked,99,2007-2011,81.8,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,16.7,374.7,329.5
Taylor Heinicke,2017,2023,6,30,38,29,604,966,6635,39,28,86.90000000000002,69,506,13,15,1,"ATL, CAR, HOU, WAS",62.5,4.0,2.9,6.9,46.4,5.3,Unranked,109,2021-2023,83.4,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,7.4,282.0,264.5
Taysom Hill,2018,2023,3,33,44,20,87,152,1125,5,6,73.66666666666667,12,71,4,1,0,NOR,57.2,3.3,3.9,7.4,80.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-9.0,-35.2,-53.3
Teddy Bridgewater,2014,2022,8,30,78,65,1372,2067,15120,75,47,88.02857142857144,166,1114,33,32,0,"CAR, DEN, MIA, MIN, NOR",66.4,3.6,2.3,7.3,50.8,12.3,Unranked,70,2019-2021,95.4,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,8.8,770.6,600.9
Tee Martin,2003,2003,1,25,2,0,6,16,69,0,1,25.3,1,5,0,0,0,OAK,37.5,0.0,6.2,4.3,0.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-65.9,-95.3,-100.0
Terrelle Pryor,2012,2013,2,24,14,10,170,302,1953,9,12,69.94999999999999,31,203,3,7,0,OAK,56.3,3.0,4.0,6.5,30.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-13.5,12.5,-15.9
Thaddeus Lewis,2012,2013,2,28,7,6,115,189,1296,5,4,82.15,21,114,2,4,0,"BUF, CLE",60.8,2.6,2.1,6.9,33.3,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,1.5,-25.4,-53.3
Tim Boyle,2019,2023,5,29,20,5,114,183,934,4,12,51.14999999999999,10,75,0,5,0,"CHI, DET, GNB, NYJ",62.3,2.2,6.6,5.1,0.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-36.8,-46.2,-62.6
Tim Couch,2000,2003,4,26,47,45,802,1315,8684,49,54,76.19999999999999,110,760,20,25,0,CLE,61.0,3.7,4.1,6.6,44.4,7.7,Unranked,92,2001-2003,75.8,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,2.8,490.8,471.1
Tim Hasselbeck,2003,2003,1,25,7,5,95,177,1012,5,7,63.6,9,44,1,4,0,WAS,53.7,2.8,4.0,5.7,20.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-14.2,-31.1,-41.7
Tim Rattay,2000,2007,8,30,40,18,432,714,4853,31,23,85.55000000000001,63,372,5,13,0,"ARI, SFO, TAM",60.5,4.3,3.2,6.8,27.8,4.2,Unranked,119,2003-2006,87.6,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,15.4,230.2,261.3
Tim Tebow,2010,2012,3,25,35,16,173,361,2422,17,9,79.96666666666667,41,258,8,6,0,"DEN, NYJ",47.9,4.7,2.5,6.7,57.1,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,6.6,58.3,87.2
Todd Bouman,2001,2010,5,38,27,7,147,264,1905,13,13,83.17999999999999,17,122,1,6,0,"JAX, MIN, NOR",55.7,4.9,4.9,7.2,14.3,0.4,Unranked,166,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,12.2,29.6,51.5
Todd Collins,2001,2010,7,39,20,4,107,182,1329,6,5,85.62857142857145,11,73,4,0,0,"CHI, KAN, WAS",58.8,3.3,2.7,7.3,100.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,15.5,-9.6,-30.1
Todd Husak,2000,2000,1,22,1,0,2,2,-2,0,0,79.2,0,0,0,0,0,WAS,100.0,0.0,0.0,-1.0,0.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,6.9,-100.1,-100.0
Tom Brady,2000,2022,23,45,335,333,7753,12050,89214,649,212,94.28260869565217,565,3576,251,82,0,"NWE, TAM",64.3,5.4,1.8,7.4,75.4,90.0,Unranked,1,2007-2010,108.1,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,27.2,5969.7,7464.1
Tom Brandstater,2011,2011,1,27,1,0,0,2,0,0,0,39.6,0,0,0,0,0,STL,0.0,0.0,0.0,0.0,0.0,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-47.2,-100.0,-100.0
Tom Savage,2014,2017,3,27,13,9,181,315,2000,5,7,68.06666666666668,27,200,2,7,0,HOU,57.5,1.6,2.2,6.3,22.2,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-15.9,15.2,-53.3
Tommy DeVito,2023,2023,1,25,9,6,114,178,1101,8,3,89.2,37,196,3,3,0,NYG,64.0,4.5,1.7,6.2,50.0,0.3,Unranked,167,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,10.2,-36.6,-25.2
Tommy Maddox,2001,2005,5,34,42,32,603,1036,7139,42,40,77.34,82,474,15,16,1,PIT,58.2,4.1,3.9,6.9,48.4,5.6,Unranked,106,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,4.4,385.7,389.5
Tony Banks,2000,2005,5,32,40,25,424,773,4846,24,23,71.92,62,382,15,10,0,"BAL, HOU, WAS",54.9,3.1,3.0,6.3,60.0,1.0,Unranked,157,2000-2003,75.0,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-3.0,229.7,179.7
Tony Pike,2010,2010,1,24,1,0,6,12,47,0,0,60.1,1,10,0,0,0,CAR,50.0,0.0,0.0,3.9,0.0,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-19.9,-96.9,-100.0
Tony Romo,2006,2016,11,36,134,127,2829,4335,34183,248,117,99.37272727272729,248,1672,78,49,0,DAL,65.3,5.7,2.7,7.9,61.4,35.8,Unranked,18,2012-2014,100.1,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,32.5,2134.1,2631.3
Trace McSorley,2020,2022,2,27,8,1,48,93,502,1,5,70.35,3,27,0,1,0,"ARI, BAL",51.6,1.1,5.4,5.4,0.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-13.1,-71.1,-90.7
Travis Brown,2000,2003,3,26,4,0,29,52,361,1,3,56.800000000000004,2,9,0,0,0,"BUF, SEA",55.8,1.9,5.8,6.9,0.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-23.4,-75.4,-88.3
Trent Dilfer,2000,2007,7,35,51,37,642,1134,7549,43,49,68.24285714285715,95,593,20,17,0,"BAL, CLE, SEA, SFO",56.6,3.8,4.3,6.7,54.1,4.9,Unranked,113,2001-2005,80.0,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-7.9,413.6,401.2
Trent Edwards,2007,2012,7,29,43,36,618,1030,6554,28,35,70.0,80,577,14,22,0,"2TM, BUF, JAX, PHI",60.0,2.7,3.4,6.4,38.9,2.7,Unranked,138,2007-2009,76.5,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-6.7,328.4,208.4
Trent Green,2000,2008,9,38,104,99,1988,3230,25034,139,103,81.3111111111111,210,1283,50,49,0,"KAN, MIA, STL",61.5,4.3,3.2,7.8,50.5,24.5,Unranked,32,2002-2004,93.5,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,9.7,1603.2,1520.0
Trevone Boykin,2016,2016,1,23,5,0,13,18,145,1,1,91.2,1,5,0,0,0,SEA,72.2,5.6,5.6,8.1,0.0,0.6,Unranked,165,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,12.7,-91.7,-90.7
Trevor Lawrence,2021,2023,3,24,50,50,1116,1750,11770,58,39,85.2,94,646,20,30,0,JAX,63.8,3.3,2.2,6.7,40.0,8.6,Unranked,87,2021-2023,85.2,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,5.3,577.7,442.1
Trevor Siemian,2016,2023,6,32,39,33,707,1208,7751,44,32,73.5,85,542,15,18,0,"CHI, DEN, NOR, NYJ",58.5,3.6,2.6,6.4,45.5,4.0,Unranked,123,2016-2021,82.1,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-9.2,346.3,311.2
Trey Lance,2021,2022,2,22,8,4,56,102,797,5,3,76.15,6,24,2,2,0,SFO,54.9,4.9,2.9,7.8,50.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-5.9,-54.1,-53.3
Troy Aikman,2000,2000,1,34,11,11,156,262,1632,7,14,64.3,13,91,4,7,0,DAL,59.5,2.7,5.3,6.2,36.4,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-13.2,11.0,-18.4
Troy Smith,2007,2010,4,26,20,8,121,234,1734,8,5,83.7,23,142,4,4,0,"BAL, SFO",51.7,3.4,2.1,7.4,50.0,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,11.6,13.3,-11.9
Tua Tagovailoa,2020,2023,4,25,53,51,1096,1638,12639,81,37,95.94999999999999,90,622,32,19,0,MIA,66.9,4.9,2.3,7.7,62.7,11.8,Unranked,73,2021-2023,98.9,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,18.6,627.8,657.0
Ty Detmer,2001,2001,1,34,4,4,92,151,906,3,10,56.9,12,75,1,3,0,DET,60.9,2.0,6.6,6.0,25.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-23.2,-38.4,-65.0
Tyler Bray,2017,2020,2,29,2,0,1,6,18,0,0,40.85,0,0,0,0,0,"CHI, KAN",16.7,0.0,0.0,3.0,0.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-49.5,-99.0,-100.0
Tyler Huntley,2020,2023,4,25,20,9,221,342,1957,8,7,79.425,29,169,3,6,0,BAL,64.6,2.3,2.0,5.7,33.3,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-1.8,12.7,-25.2
Tyler Palko,2010,2011,2,28,8,4,84,140,831,2,7,70.85,13,93,1,3,0,KAN,60.0,1.4,5.0,5.9,25.0,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-5.5,-45.7,-78.0
Tyler Thigpen,2007,2012,7,28,30,12,279,517,3305,22,20,60.800000000000004,35,221,1,11,0,"2TM, BUF, KAN, MIA",54.0,4.3,3.9,6.4,8.3,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-18.9,116.0,142.3
Tyrod Taylor,2011,2023,12,34,91,58,1068,1730,12135,65,29,89.08181818181818,177,1006,28,28,1,"BAL, BUF, CLE, HOU, LAC, NYG",61.7,3.8,1.7,7.0,50.0,10.3,Unranked,79,2015-2017,92.8,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,18.8,693.1,615.9
Tyson Bagent,2023,2023,1,23,5,4,94,143,859,3,6,71.4,5,35,2,2,0,CHI,65.7,2.1,4.2,6.0,50.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-11.8,-50.5,-72.0
Vince Young,2006,2011,6,28,60,50,755,1304,8964,46,51,74.08333333333334,83,449,31,19,0,"PHI, TEN",57.9,3.5,3.9,6.9,62.0,6.2,Unranked,103,2007-2010,84.2,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-1.2,485.9,406.6
Vinny Testaverde,2000,2007,8,44,76,68,1218,2088,13658,70,76,81.5375,101,633,30,38,0,"CAR, DAL, NWE, NYJ",58.3,3.4,3.6,6.5,44.1,12.9,Unranked,68,2001-2004,80.8,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,10.0,829.2,715.9
Warren Moon,2000,2000,1,44,2,1,15,34,208,1,1,61.9,5,46,0,1,0,KAN,44.1,2.9,2.9,6.1,0.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-16.5,-85.8,-88.3
Will Grier,2019,2019,1,24,2,2,28,52,228,0,4,33.2,6,44,0,2,0,CAR,53.8,0.0,7.7,4.4,0.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-59.0,-86.9,-100.0
Will Levis,2023,2023,1,24,9,9,149,255,1808,8,4,84.2,28,185,3,6,0,TEN,58.4,3.1,1.6,7.1,33.3,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,4.1,4.1,-25.2
Zach Mettenberger,2014,2015,2,24,14,10,208,345,2347,12,14,75.05000000000001,31,236,0,10,0,TEN,60.3,3.5,4.1,6.8,0.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-7.2,35.1,12.1
Zach Wilson,2021,2023,3,24,34,33,566,993,6293,23,25,73.23333333333333,113,885,12,21,0,NYJ,57.0,2.3,2.5,6.3,36.4,2.2,Unranked,143,2021-2023,73.2,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-9.5,262.4,115.0
